Каталог координат пунктов в системе МСК-64 и высот в Балтийской системе 1977 г.
№ п/п	ID	RTCM ID	Тип	Класс	Север, м	Восток, м	Высота, м
1	AGLT	1015	ДГС	СГС-1	124427,953	110155,593	68,591
2	BNTA	1002	ДГС	СГС-1	92773,19	111812,361	23,412
3	FAG2	1064	ДГС	СГС-1	89251,038	116302,984	32,566
4	GPRB	1060	ДГС	СГС-1	104924,898	114056,332	100,606
5	GTCN	1017	ДГС	СГС-1	54442,825	103904,501	103,22
6	GU29	1014	ДГС	СГС-1	97201,768	113872,153	29,707
7	KRNS	1038	ДГС	СГС-1	100968,782	82859,068	20,033
8	KRV2	1048	ДГС	СГС-1	88455,543	151245,104	73,955
9	LMNS	1036	ДГС	СГС-1	89019,203	85658,768	38,721
10	MCHR	1034	ДГС	СГС-1	164337,004	89236,351	125,298
11	MRL2	1049	ДГС	СГС-1	67160,459	104406,84	131,309
12	MS25	1037	ДГС	СГС-1	81566,764	116241,148	25,36
13	NZYA	1044	ДГС	СГС-1	84798,733	184610,795	74,37
14	ORLV	1018	ДГС	СГС-1	96015,397	117881,458	31,172
15	PRVM	1009	ДГС	СГС-1	141304,459	81591,974	97,434
16	PULK	1003	ДГС	СГС-1	76005,343	114481,728	85,067
17	RSCH	1016	ДГС	СГС-1	130069,238	74032,507	65,768
18	SBOR	1012	ДГС	СГС-1	81837,006	42443,479	35,367
19	SL55	1033	ДГС	СГС-1	88995,282	117092,111	26,288
20	SRTV	1008	ДГС	СГС-1	117878,325	107769,025	83,782
21	SVRS	1006	ДГС	СГС-1	30451,04	100093,678	107,027
22	TCNP	1039	ДГС	СГС-1	81156,699	114374,298	51,821
23	TSN3	1054	ДГС	СГС-1	49892,392	145715,518	71,456
24	UGTS	1025	ДГС	СГС-1	95611,035	111022,896	28,855
25	VLS2	1046	ДГС	СГС-1	39788,391	66525,19	150,85
26	VSVL	1065	ДГС	СГС-1	102877,634	130312,073	41,98
