Количество	Имя	Положение X	Положение Y	Положение Z
1	Точка	555763.000	5031304.000	13.900
1	Точка	555779.000	5031289.000	13.900
1	Точка	555569.000	5031329.000	13.900
1	Точка	555481.000	5031308.000	13.900
1	Точка	555799.000	5031324.000	13.900
1	Точка	555612.000	5031338.000	13.900
1	Точка	555800.000	5031320.000	13.900
1	Точка	555767.000	5031302.000	13.900
1	Точка	555799.000	5031332.000	13.900
1	Точка	555785.000	5031310.000	13.900
1	Точка	555542.000	5031321.000	13.900
1	Точка	555798.000	5031328.000	13.900
1	Точка	555475.000	5031306.000	13.900
1	Точка	555781.000	5031342.000	13.900
1	Точка	555802.000	5031329.000	13.900
1	Точка	555714.000	5031337.000	13.900
1	Точка	555513.000	5031315.000	13.900
1	Точка	555791.000	5031342.000	13.900
1	Точка	555767.000	5031306.000	13.900
1	Точка	555778.000	5031338.000	13.900
1	Точка	555460.000	5031301.000	13.900
1	Точка	555776.000	5031301.000	13.900
1	Точка	555797.000	5031312.000	13.900
1	Точка	555776.000	5031297.000	13.900
1	Точка	555640.000	5031341.000	13.900
1	Точка	555774.000	5031308.000	13.900
1	Точка	555467.000	5031304.000	13.900
1	Точка	555550.000	5031324.000	13.900
1	Точка	555771.000	5031300.000	13.900
1	Точка	555741.000	5031329.000	14.000
1	Точка	555772.000	5031296.000	14.000
1	Точка	555781.000	5031314.000	14.000
1	Точка	555796.000	5031319.000	14.000
1	Точка	555759.000	5031328.000	14.000
1	Точка	555585.000	5031333.000	14.000
1	Точка	555729.000	5031332.000	14.000
1	Точка	555792.000	5031338.000	14.000
1	Точка	555455.000	5031308.000	14.000
1	Точка	555764.000	5031309.000	14.000
1	Точка	555770.000	5031309.000	14.000
1	Точка	555763.000	5031331.000	14.000
1	Точка	555774.000	5031312.000	14.000
1	Точка	555603.000	5031336.000	14.000
1	Точка	555795.000	5031331.000	14.000
1	Точка	555787.000	5031342.000	14.000
1	Точка	555502.000	5031311.000	14.000
1	Точка	555790.000	5031311.000	13.900
1	Точка	555799.000	5031336.000	13.900
1	Точка	555676.000	5031346.000	13.900
1	Точка	555756.000	5031331.000	13.900
1	Точка	555795.000	5031335.000	14.000
1	Точка	555521.000	5031316.000	14.000
1	Точка	555762.000	5031300.000	14.000
1	Точка	555775.000	5031289.000	14.000
1	Точка	555768.000	5031297.000	14.000
1	Точка	555663.000	5031342.000	14.000
1	Точка	555770.000	5031333.000	14.000
1	Точка	555784.000	5031289.000	13.900
1	Точка	555771.000	5031337.000	13.800
1	Точка	555733.000	5031333.000	13.800
1	Точка	555786.000	5031306.000	13.800
1	Точка	555680.000	5031346.000	13.800
1	Точка	555803.000	5031333.000	13.800
1	Точка	555463.000	5031304.000	13.800
1	Точка	555790.000	5031297.000	13.800
1	Точка	555493.000	5031312.000	13.800
1	Точка	555782.000	5031305.000	13.800
1	Точка	555726.000	5031335.000	13.800
1	Точка	555803.000	5031337.000	13.800
1	Точка	555795.000	5031308.000	13.800
1	Точка	555668.000	5031346.000	13.800
1	Точка	555793.000	5031304.000	13.800
1	Точка	555787.000	5031302.000	13.700
1	Точка	555648.000	5031343.000	13.700
1	Точка	555528.000	5031320.000	13.700
1	Точка	555782.000	5031293.000	13.700
1	Точка	555477.000	5031310.000	13.700
1	Точка	555784.000	5031297.000	13.700
1	Точка	555789.000	5031292.000	13.700
1	Точка	555462.000	5031310.000	13.700
1	Точка	555473.000	5031310.000	13.700
1	Точка	555806.000	5031328.000	13.800
1	Точка	555622.000	5031341.000	13.700
1	Точка	555807.000	5031324.000	13.700
1	Точка	555781.000	5031301.000	13.700
1	Точка	555467.000	5031308.000	13.700
1	Точка	555581.000	5031334.000	13.800
1	Точка	555806.000	5031316.000	13.800
1	Точка	555657.000	5031344.000	13.800
1	Точка	555617.000	5031340.000	13.800
1	Точка	555546.000	5031323.000	13.800
1	Точка	555778.000	5031305.000	13.800
1	Точка	555703.000	5031341.000	13.800
