Количество	Имя	Конец X	Конец Y	Конец Z	Начало X	Начало Y	Начало Z
1	Линия	555695.388	5031285.726	0.000	555693.415	5031283.291	0.000
1	Линия	555693.481	5031287.272	0.000	555695.388	5031285.726	0.000
1	Линия	555689.041	5031285.383	0.000	555693.481	5031287.272	0.000
1	Линия	555687.257	5031282.669	0.000	555687.257	5031280.269	0.000
1	Линия	555689.332	5031283.806	0.000	555687.257	5031282.669	0.000
1	Линия	555693.415	5031283.291	0.000	555689.332	5031283.806	0.000
1	Линия	555681.647	5031283.240	0.000	555689.041	5031285.383	0.000
1	Линия	555676.784	5031274.658	0.000	555680.404	5031273.406	0.000
1	Линия	555677.213	5031277.556	0.000	555676.784	5031274.658	0.000
1	Линия	555676.250	5031282.963	0.000	555677.213	5031277.556	0.000
1	Линия	555678.964	5031281.389	0.000	555681.647	5031283.240	0.000
1	Линия	555682.865	5031276.191	0.000	555678.964	5031281.389	0.000
1	Линия	555680.404	5031273.406	0.000	555682.865	5031276.191	0.000
1	Линия	555714.775	5031273.009	0.000	555711.613	5031271.824	0.000
1	Линия	555718.858	5031271.260	0.000	555714.775	5031273.009	0.000
1	Линия	555721.208	5031272.820	0.000	555718.858	5031271.260	0.000
1	Линия	555724.081	5031270.839	0.000	555727.257	5031271.533	0.000
1	Линия	555710.351	5031268.067	0.000	555724.081	5031270.839	0.000
1	Линия	555711.613	5031271.824	0.000	555710.351	5031268.067	0.000
1	Линия	555719.304	5031275.032	0.000	555721.208	5031272.820	0.000
1	Линия	555695.948	5031273.576	0.000	555701.678	5031274.708	0.000
1	Линия	555690.432	5031275.482	0.000	555695.948	5031273.576	0.000
1	Линия	555687.257	5031280.269	0.000	555690.432	5031275.482	0.000
1	Линия	555709.731	5031275.958	0.000	555719.304	5031275.032	0.000
1	Линия	555705.271	5031274.106	0.000	555709.731	5031275.958	0.000
1	Линия	555701.678	5031274.708	0.000	555705.271	5031274.106	0.000
1	Линия	555679.732	5031287.137	0.000	555676.250	5031282.963	0.000
1	Линия	555637.510	5031311.856	0.000	555640.426	5031314.291	0.000
1	Линия	555631.651	5031311.306	0.000	555637.510	5031311.856	0.000
1	Линия	555627.995	5031314.467	0.000	555631.651	5031311.306	0.000
1	Линия	555648.712	5031309.484	0.000	555645.350	5031305.078	0.000
1	Линия	555648.455	5031311.616	0.000	555648.712	5031309.484	0.000
1	Линия	555640.426	5031314.291	0.000	555648.455	5031311.616	0.000
1	Линия	555621.544	5031312.426	0.000	555627.995	5031314.467	0.000
1	Линия	555704.230	5031363.480	0.000	555689.218	5031363.876	0.000
1	Линия	555714.964	5031352.165	0.000	555704.230	5031363.480	0.000
1	Линия	555727.257	5031271.533	0.000	555714.964	5031352.165	0.000
1	Линия	555616.701	5031315.343	0.000	555621.544	5031312.426	0.000
1	Линия	555666.406	5031348.816	0.000	555616.701	5031315.343	0.000
1	Линия	555689.218	5031363.876	0.000	555666.406	5031348.816	0.000
1	Линия	555666.695	5031295.653	0.000	555676.103	5031296.740	0.000
1	Линия	555663.996	5031296.084	0.000	555666.695	5031295.653	0.000
1	Линия	555664.418	5031298.735	0.000	555663.996	5031296.084	0.000
1	Линия	555676.387	5031290.909	0.000	555679.732	5031287.137	0.000
1	Линия	555677.640	5031295.203	0.000	555676.387	5031290.909	0.000
1	Линия	555676.103	5031296.740	0.000	555677.640	5031295.203	0.000
1	Линия	555662.880	5031300.583	0.000	555664.418	5031298.735	0.000
1	Линия	555648.699	5031300.287	0.000	555650.960	5031301.581	0.000
1	Линия	555645.851	5031301.933	0.000	555648.699	5031300.287	0.000
1	Линия	555645.350	5031305.078	0.000	555645.851	5031301.933	0.000
1	Линия	555655.212	5031304.852	0.000	555662.880	5031300.583	0.000
1	Линия	555651.154	5031305.077	0.000	555655.212	5031304.852	0.000
1	Линия	555650.960	5031301.581	0.000	555651.154	5031305.077	0.000
