Количество,Имя,Конец X,Конец Y,Конец Z,Начало X,Начало Y,Начало Z
1,Линия,555847.189,5031350.319,0.000,555853.187,5031350.529,0.000
1,Линия,555842.498,5031349.770,0.000,555847.189,5031350.319,0.000
1,Линия,555837.245,5031347.624,0.000,555842.498,5031349.770,0.000
1,Линия,555853.187,5031350.529,0.000,555855.653,5031348.063,0.000
1,Линия,555870.051,5031351.598,0.000,555875.002,5031355.592,0.000
1,Линия,555861.198,5031348.063,0.000,555870.051,5031351.598,0.000
1,Линия,555855.653,5031348.063,0.000,555861.198,5031348.063,0.000
1,Линия,555833.076,5031345.639,0.000,555837.245,5031347.624,0.000
1,Линия,555797.128,5031345.437,0.000,555801.068,5031344.913,0.000
1,Линия,555789.464,5031346.457,0.000,555797.128,5031345.437,0.000
1,Линия,555784.344,5031347.388,0.000,555789.464,5031346.457,0.000
1,Линия,555801.068,5031344.913,0.000,555808.330,5031345.202,0.000
1,Линия,555828.373,5031343.923,0.000,555833.076,5031345.639,0.000
1,Линия,555824.239,5031345.294,0.000,555828.373,5031343.923,0.000
1,Линия,555808.330,5031345.202,0.000,555812.229,5031345.851,0.000
1,Линия,555953.721,5031322.924,0.000,555950.805,5031318.680,0.000
1,Линия,555953.721,5031327.829,0.000,555953.721,5031322.924,0.000
1,Линия,555950.404,5031331.147,0.000,555953.721,5031327.829,0.000
1,Линия,555950.805,5031318.680,0.000,555943.245,5031319.902,0.000
1,Линия,555932.452,5031317.399,0.000,555933.307,5031313.129,0.000
1,Линия,555938.091,5031320.735,0.000,555932.452,5031317.399,0.000
1,Линия,555943.245,5031319.902,0.000,555938.091,5031320.735,0.000
1,Линия,555950.071,5031335.147,0.000,555950.404,5031331.147,0.000
1,Линия,555925.620,5031349.036,0.000,555927.865,5031345.125,0.000
1,Линия,555924.608,5031350.800,0.000,555925.620,5031349.036,0.000
1,Линия,555909.591,5031350.025,0.000,555924.608,5031350.800,0.000
1,Линия,555927.865,5031345.125,0.000,555939.586,5031345.125,0.000
1,Линия,555944.616,5031336.101,0.000,555950.071,5031335.147,0.000
1,Линия,555939.390,5031340.513,0.000,555944.616,5031336.101,0.000
1,Линия,555939.586,5031345.125,0.000,555939.390,5031340.513,0.000
1,Линия,555776.977,5031348.726,0.000,555784.344,5031347.388,0.000
1,Линия,555988.677,5031368.434,0.000,555982.185,5031385.605,0.000
1,Линия,555965.436,5031319.623,0.000,555988.677,5031368.434,0.000
1,Линия,555714.964,5031352.165,0.000,555698.747,5031346.089,0.000
1,Линия,555982.185,5031385.605,0.000,555971.253,5031414.506,0.000
1,Линия,555719.350,5031364.550,0.000,555710.898,5031356.451,0.000
1,Линия,555833.352,5031421.598,0.000,555802.841,5031405.701,0.000
1,Линия,555971.253,5031414.506,0.000,555956.183,5031430.321,0.000
1,Линия,555776.977,5031348.726,0.000,555776.977,5031348.726,0.000
1,Линия,555863.889,5031428.732,0.000,555912.025,5031430.355,0.000
1,Линия,555746.883,5031340.145,0.000,555746.883,5031340.145,0.000
1,Линия,555939.586,5031345.125,0.000,555939.586,5031345.125,0.000
1,Линия,555912.025,5031430.355,0.000,555935.619,5031436.004,0.000
1,Линия,555971.253,5031414.506,0.000,555988.677,5031368.434,0.000
1,Линия,555824.239,5031345.294,0.000,555820.789,5031347.621,0.000
1,Линия,555935.619,5031436.004,0.000,555956.183,5031430.321,0.000
1,Линия,555756.908,5031340.831,0.000,555759.688,5031341.047,0.000
1,Линия,555752.883,5031339.315,0.000,555756.908,5031340.831,0.000
1,Линия,555746.883,5031340.145,0.000,555752.883,5031339.315,0.000
1,Линия,555759.688,5031341.047,0.000,555764.986,5031342.713,0.000
1,Линия,555770.400,5031346.466,0.000,555776.977,5031348.726,0.000
1,Линия,555767.404,5031345.131,0.000,555770.400,5031346.466,0.000
1,Линия,555764.986,5031342.713,0.000,555767.404,5031345.131,0.000
1,Линия,555735.975,5031339.820,0.000,555746.883,5031340.145,0.000
1,Линия,555698.747,5031346.089,0.000,555700.378,5031345.380,0.000
1,Линия,555933.307,5031313.129,0.000,555965.436,5031319.623,0.000
1,Линия,555710.898,5031356.451,0.000,555714.964,5031352.165,0.000
1,Линия,555700.378,5031345.380,0.000,555703.812,5031344.982,0.000
1,Линия,555715.646,5031341.444,0.000,555735.975,5031339.820,0.000
1,Линия,555707.891,5031343.250,0.000,555715.646,5031341.444,0.000
1,Линия,555703.812,5031344.982,0.000,555707.891,5031343.250,0.000
2,Линия,555908.379,5031352.511,0.000,555909.591,5031350.025,0.000
2,Линия,555901.897,5031354.689,0.000,555908.379,5031352.511,0.000
2,Линия,555812.229,5031345.851,0.000,555816.258,5031347.134,0.000
2,Линия,555820.789,5031347.621,0.000,555824.239,5031345.294,0.000
2,Линия,555816.258,5031347.134,0.000,555820.789,5031347.621,0.000
2,Линия,555895.410,5031353.773,0.000,555901.897,5031354.689,0.000
2,Линия,555802.841,5031405.701,0.000,555776.284,5031386.660,0.000
2,Линия,555912.025,5031430.355,0.000,555863.889,5031428.732,0.000
2,Линия,555776.284,5031386.660,0.000,555719.350,5031364.550,0.000
2,Линия,555891.935,5031351.487,0.000,555895.410,5031353.773,0.000
2,Линия,555888.362,5031355.060,0.000,555891.935,5031351.487,0.000
3,Линия,555875.002,5031355.592,0.000,555888.362,5031355.060,0.000
3,Линия,555863.889,5031428.732,0.000,555833.352,5031421.598,0.000
3,Линия,555956.183,5031430.321,0.000,555935.619,5031436.004,0.000
3,Линия,555935.619,5031436.004,0.000,555912.025,5031430.355,0.000
